ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
25231,Cloud specialist,PROFESSIONALS,9583,7001,15176,0.5410,0.3253,0.8471,0.7035,0.2568,moderate,0.1491,low,mixed,high,0.8667,direct
21721,Commercial airline pilot,PROFESSIONALS,13878,11594,17003,0.2225,0.9813,0.6114,0.7860,0.0033,very_low,0.1335,low,ai_leveraged,high,0.7446,direct
24154,Commodities and freight derivatives broker,PROFESSIONALS,12000,8205,18662,0.9216,0.3387,0.8101,0.7165,0.4367,high,0.2529,moderate,mixed,high,0.8228,direct
24351,Commodities trader (excluding oil and bunker),PROFESSIONALS,16000,8800,20000,0.8221,0.4242,0.7436,0.7397,0.3501,high,0.2594,moderate,mixed,medium,0.6916,direct
24132,Compliance officer/Risk analyst (financial),PROFESSIONALS,7395,5500,13048,0.9714,0.3119,0.7884,0.7241,0.4839,high,0.2389,moderate,mixed,high,0.8667,direct
21522,Computer engineer,PROFESSIONALS,6061,5572,6679,0.5867,0.5178,0.5128,0.8205,0.2321,moderate,0.1558,moderate,ai_leveraged,high,0.8667,direct
26413,Content writer,PROFESSIONALS,5250,4327,8097,0.7341,0.1471,0.5272,0.8155,0.5106,very_high,0.0569,low,at_risk,high,0.7667,direct
26373,Counsellor (family),PROFESSIONALS,4350,3700,5300,0.7601,0.8877,0.4217,0.8524,0.0728,low,0.2845,moderate,ai_leveraged,medium,0.6363,direct
24311,Creative advertising professional,PROFESSIONALS,7089,4975,10415,0.8503,0.5865,0.6274,0.7804,0.2744,moderate,0.3128,high,mixed,high,0.7143,direct
26212,Curator,PROFESSIONALS,5595,4610,8000,0.4798,0.5811,0.5080,0.8222,0.1652,moderate,0.1416,low,ai_leveraged,medium,0.4974,direct
25241,Cyber risk specialist,PROFESSIONALS,10071,7579,13583,0.8342,0.2906,0.8049,0.7183,0.4251,high,0.1951,moderate,mixed,high,0.8548,direct
25245,Cybersecurity architect,PROFESSIONALS,7826,5738,11236,0.8342,0.2906,0.7806,0.7268,0.4301,high,0.1892,moderate,mixed,high,0.8548,direct
25291,Data centre engineer,PROFESSIONALS,4863,3870,6361,0.8271,0.2406,0.4752,0.8337,0.5236,very_high,0.0946,low,at_risk,medium,0.7000,direct
21222,Data scientist,PROFESSIONALS,9047,6890,12132,0.9310,0.2023,0.7806,0.7268,0.5397,very_high,0.1470,low,mixed,high,0.9333,direct
25211,Database administrator,PROFESSIONALS,6717,3440,10264,0.8601,0.1061,0.6470,0.7735,0.5947,very_high,0.0590,low,at_risk,medium,0.7000,direct
25212,Database architect,PROFESSIONALS,11153,7410,14942,0.8601,0.1061,0.6976,0.7558,0.5811,very_high,0.0636,low,at_risk,medium,0.7000,direct
22122,Dermatologist,PROFESSIONALS,9035,6776,9982,0.4832,0.9554,0.5707,0.8002,0.0172,very_low,0.2635,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22142,Diagnostic radiologist,PROFESSIONALS,7016,6486,9282,0.4636,0.9554,0.5058,0.8230,0.0170,very_low,0.2241,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22651,Dietitian,PROFESSIONALS,4708,4044,6232,0.8585,0.9100,0.4499,0.8425,0.0651,low,0.3514,high,ai_leveraged,high,0.7667,direct
24314,"Digital marketing professional (e.g. online, social media, e-commerce marketing professional)",PROFESSIONALS,5300,3679,8235,0.8503,0.5865,0.5743,0.7990,0.2809,moderate,0.2864,moderate,mixed,high,0.7143,direct
26542,"Director (stage, film, television, game, commercial, video and radio)",PROFESSIONALS,11998,9479,15657,0.6504,0.7968,0.6381,0.7767,0.1026,low,0.3307,high,ai_leveraged,high,0.7667,direct
23622,Early intervention teacher for infants and children,PROFESSIONALS,4019,3300,4951,0.4394,0.6934,0.4338,0.8482,0.1143,low,0.1322,low,ai_leveraged,medium,0.4333,direct
26310,Economist,PROFESSIONALS,6080,4848,20000,0.9262,0.5330,0.6251,0.7812,0.3379,high,0.3086,high,mixed,high,0.7667,direct
26422,Editor (news and periodicals),PROFESSIONALS,10800,7444,15038,0.7997,0.7014,0.6962,0.7563,0.1806,moderate,0.3905,high,ai_leveraged,high,0.7667,direct
26544,"Editor (radio, television and video)",PROFESSIONALS,6909,5246,9859,0.6504,0.7968,0.5871,0.7945,0.1050,low,0.3043,high,ai_leveraged,high,0.7667,direct
21511,Electrical engineer,PROFESSIONALS,6000,4687,8155,0.6265,0.5597,0.5219,0.8173,0.2254,moderate,0.1830,moderate,ai_leveraged,medium,0.6092,direct
21521,Electronics engineer,PROFESSIONALS,7861,6092,9135,0.5867,0.5178,0.6993,0.7552,0.2136,moderate,0.2124,moderate,ai_leveraged,high,0.9333,direct
21526,Embedded systems engineer (including port systems engineer),PROFESSIONALS,8085,6110,10443,0.5867,0.5178,0.6735,0.7643,0.2162,moderate,0.2046,moderate,ai_leveraged,high,0.8667,direct
