ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
21443,Air-conditioning/Refrigeration engineer,PROFESSIONALS,6503,5419,9106,2.5,estimated_sg_submajor,derived_from_official_sg,4.1,external_proxy,0.6325,0.7362,0.5272,0.8155,0.1361,low,0.2455,low,ai_leveraged,true,-0.1104,false,false,high,0.8333,direct,University Degree,external_proxy,false,strict,false,false
22141,Anaesthesiologist,PROFESSIONALS,6712,6195,7633,1.8,estimated_sg_submajor,derived_from_official_sg,1.9,external_proxy,0.4408,0.9554,0.4638,0.8377,0.0165,very_low,0.1953,very_low,ai_leveraged,true,-0.0708,false,false,high,0.7000,submajor_fallback,Graduate Degree,external_proxy,false,strict,false,false
25140,Applications/Systems programmer,PROFESSIONALS,6500,6050,7660,4.2,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.8761,0.2959,0.6049,0.7883,0.4863,high,0.1568,very_low,mixed,false,,exact,false,high,0.7890,direct,Graduate Degree,external_proxy,false,false,false,false
26543,"Artistic director (stage, film, television, game and radio)",PROFESSIONALS,5500,4260,7280,1.9,estimated_sg_submajor,derived_from_official_sg,2.34,external_proxy,0.6137,0.7968,0.5001,0.8250,0.1029,low,0.2446,low,ai_leveraged,true,-0.0483,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
21524,Audio and video equipment engineer,PROFESSIONALS,4837,3921,6540,2.5,estimated_sg_submajor,derived_from_official_sg,1.34,external_proxy,0.6390,0.5178,0.5570,0.8051,0.2481,moderate,0.1843,very_low,ai_leveraged,true,0.0809,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
22661,Audiologist,PROFESSIONALS,4884,3963,5800,1.8,estimated_sg_submajor,derived_from_official_sg,2.62,external_proxy,0.4237,0.7692,0.4395,0.8462,0.0828,low,0.1432,very_low,ai_leveraged,true,-0.6524,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,strict,false,false
24112,Auditor (accounting),PROFESSIONALS,5575,4875,7693,5.3,estimated_sg_submajor,derived_from_official_sg,22.12,external_proxy,0.9063,0.3021,0.6555,0.7706,0.4873,high,0.1795,very_low,mixed,true,-0.0855,prefix,exact,high,0.9000,direct,University Degree,external_proxy,false,false,false,false
26411,Author,PROFESSIONALS,4000,3500,7000,1.9,estimated_sg_submajor,derived_from_official_sg,1.9,external_proxy,0.8538,0.1471,0.5215,0.8175,0.5953,very_high,0.0655,very_low,at_risk,true,0.1328,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
21413,Automation engineer (including robotics engineer),PROFESSIONALS,8588,6350,12539,2.5,estimated_sg_submajor,derived_from_official_sg,5.16,external_proxy,0.5910,0.7861,0.7327,0.7435,0.0940,low,0.3404,low,ai_leveraged,true,-0.5633,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,strict,false,false
21343,Biochemist,PROFESSIONALS,6264,5500,7114,2.5,estimated_sg_submajor,derived_from_official_sg,1.41,external_proxy,0.5501,0.8128,0.5309,0.8142,0.0838,low,0.2374,low,ai_leveraged,true,-0.2679,prefix,false,high,0.7399,direct,Graduate Degree,external_proxy,false,false,false,false
